Player,Score
Matthew Stafford,86.5625
Tom Brady*,83.59375
Joe Burrow,79.84375
Patrick Mahomes*,74.375
Dak Prescott,74.21875
Aaron Rodgers*+,73.75
Justin Herbert*,72.34375
Josh Allen,68.90625
Derek Carr,66.71875
Kyler Murray*,61.40625
Jimmy Garoppolo,59.0625
Ryan Tannehill,57.5
Mac Jones*,57.03125
Kirk Cousins*,56.25
Carson Wentz,44.375
Matt Ryan,44.21875
Russell Wilson*,44.0625
Ben Roethlisberger,41.5625
Taylor Heinicke,40.9375
Jameis Winston,37.1875
Teddy Bridgewater,35.46875
Lamar Jackson*,34.21875
Tua Tagovailoa,33.125
Jared Goff,32.03125
Jalen Hurts,30.3125
Baker Mayfield,28.4375
Trevor Lawrence,27.03125
Davis Mills,21.25
Sam Darnold,16.40625
Daniel Jones,12.8125
Zach Wilson,10.78125
Justin Fields,8.125
